Coord;Interestingness
(0.0, -1.0, 0.0);0.3817204
(0.0, -0.3, 2.0);0.4185148
(0.2, 0.0, 4.0);0.2284094
(0.4, 0.1, 6.0);0.1057706
(0.8, 0.2, 8.0);0.07952145
(1.2, 0.2, 9.9);0.04069312
(1.7, 0.0, 11.9);0.05278286
(2.2, -0.1, 13.8);0.03092923
(2.9, -0.1, 15.7);0.03158169
(3.6, -0.3, 17.5);0.02876362
(4.5, -0.5, 19.4);0.02357786
(5.3, -0.5, 21.2);0.0246154
(6.3, -0.5, 22.9);0.0228695
(7.4, -0.6, 24.6);0.0190508
(8.5, -0.4, 26.3);0.01798818
(9.6, -0.2, 27.9);0.01703786
(10.8, -0.1, 29.5);0.01618293
(12.0, 0.1, 31.1);0.01728519
(13.2, 0.2, 32.6);0.0164059
(14.5, 0.1, 34.1);0.01561175
(15.9, 0.2, 35.5);0.01489095
(17.3, 0.2, 36.9);0.01884214
(18.8, 0.2, 38.2);0.01780204
(20.3, 0.2, 39.4);0.01687078
(21.9, 0.2, 40.6);0.01472613
(23.5, 0.0, 41.8);0.01282794
(25.1, 0.2, 42.8);0.01474909
(26.8, 0.1, 43.8);0.01295204
(28.6, 0.2, 44.8);0.01356054
(30.3, 0.2, 45.7);0.01194878
(32.1, 0.2, 46.5);0.01152195
(34.0, 0.3, 47.2);0.01112456
(35.8, 0.4, 47.9);0.008824938
(37.7, 0.7, 48.5);0.008589927
(39.6, 0.9, 49.0);0.008367108
(41.5, 1.5, 49.4);0.007259501
(43.4, 2.0, 49.5);0.007099719
(45.4, 2.2, 49.6);0.006946819
(47.3, 2.1, 49.6);0.006800367
(49.3, 1.5, 49.7);0.006659962
(49.5, 1.4, 49.7);0.006525238
(47.8, 3.8, 45.6);0.006395857
(49.4, 2.7, 45.9);0.006271507
(44.6, 3.3, 47.9);0.0061519
(46.9, 3.3, 47.8);0.00603677
(49.1, 2.4, 47.7);0.005925871
(49.8, 3.8, 39.0);0.005818971
(46.7, 6.0, 36.0);0.007129141
(48.4, 5.3, 35.9);0.005592001
(49.8, 4.2, 35.7);0.005496712
(49.8, 4.4, 34.6);0.005404617
(49.6, 3.6, 29.5);0.007286523
(44.0, 2.4, 25.7);0.007125562
(45.2, 2.7, 25.7);0.00759793
(46.5, 2.9, 25.6);0.00803403
(47.7, 2.5, 25.5);0.00544708
(48.9, 2.2, 25.3);0.005356626
(49.6, 3.7, 30.1);0.006428448
(49.6, 4.0, 30.8);0.005165991
(45.5, 3.6, 27.2);0.007318894
(46.6, 4.1, 27.5);0.006065796
(47.6, 3.8, 27.8);0.005953838
(48.7, 3.5, 28.0);0.005845936
(49.5, 3.2, 28.2);0.004186019
(49.5, 2.7, 26.9);0.00464524
(42.9, 3.6, 28.4);0.006091395
(44.1, 4.1, 28.7);0.005978499
(45.3, 4.4, 28.9);0.006354065
(46.5, 4.7, 29.0);0.006231319
(47.7, 4.6, 2
