Coord;Interestingness
(0.0, 3.9, 0.0);0.2840402
(0.1, 3.9, 0.2);0.1035737
(0.2, 3.9, 0.4);0.06175456
(0.3, 4.0, 0.6);0.04414641
(0.4, 4.0, 0.8);0.03438247
(0.5, 4.0, 1.0);0.02816471
(0.6, 4.0, 1.2);0.02385503
(0.7, 4.0, 1.4);0.02069087
(0.8, 4.0, 1.6);0.01826863
(0.9, 4.0, 1.8);0.01635455
(1.0, 4.1, 2.0);0.01480379
(1.1, 4.1, 2.2);0.01352181
(1.2, 4.1, 2.4);0.01244428
(1.3, 4.1, 2.6);0.01152588
(1.4, 4.1, 2.8);0.01073377
(1.5, 4.1, 3.0);0.01004356
(1.6, 4.1, 3.2);0.009436785
(1.7, 4.1, 3.4);0.008899163
(1.8, 4.2, 3.6);0.008419513
(1.9, 4.2, 3.8);0.007988933
(2.0, 4.2, 4.0);0.007600259
(2.1, 4.2, 4.2);0.007247656
(2.2, 4.2, 4.4);0.006926324
(2.3, 4.2, 4.6);0.00663228
(2.4, 4.2, 4.8);0.006362188
(2.5, 4.3, 5.0);0.006113237
(2.6, 4.3, 5.2);0.005883037
(2.7, 4.3, 5.4);0.005669547
(2.8, 4.3, 5.6);0.00547101
(2.9, 4.3, 5.8);0.005285908
(3.0, 4.3, 6.0);0.005112924
(3.1, 4.3, 6.2);0.004950903
(3.2, 4.3, 6.4);0.005388458
(3.3, 4.3, 6.6);0.005208809
(3.4, 4.3, 6.8);0.005040754
(3.5, 4.3, 7.0);0.005416481
(3.6, 4.3, 7.2);0.005234991
(3.7, 4.3, 7.4);0.005562881
(3.8, 4.3, 7.6);0.005850913
(3.9, 4.3, 7.8);0.005639705
(4.0, 4.3, 8.0);0.005443217
(4.1, 4.3, 8.2);0.00525996
(4.2, 4.3, 8.4);0.005088642
(4.3, 4.3, 8.6);0.004928133
(4.4, 4.2, 8.8);0.00477744
(4.5, 4.2, 9.0);0.00463569
(4.6, 4.2, 9.2);0.00450211
(4.7, 4.2, 9.4);0.004376013
(4.8, 4.2, 9.6);0.004256788
(4.9, 4.2, 9.8);0.004143888
(5.0, 4.2, 10.0);0.004036821
(5.1, 4.2, 10.2);0.003935149
(5.2, 4.2, 10.4);0.003838472
(5.3, 4.2, 10.6);0.003437637
(5.4, 4.2, 10.8);0.003363632
(5.5, 4.2, 11.0);0.003292745
(5.6, 4.2, 11.2);0.003224785
(5.7, 4.2, 11.4);0.003159574
(5.8, 4.2, 11.6);0.003096947
(5.9, 4.2, 11.8);0.003036756
(6.0, 4.2, 12.0);0.002978859
(6.1, 4.1, 12.2);0.002923129
(6.2, 4.1, 12.4);0.002869446
(6.3, 4.1, 12.6);0.002817699
(6.4, 4.1, 12.8);0.002767785
(6.5, 4.1, 13.0);0.002719609
(6.6, 4.1, 13.2);0.002673082
(6.7, 4.1, 13.4);0.00262812
(6.8, 4.1, 13.6);0.002584645
(6.9, 4.0, 13.8);0.002542585
(7.0, 4.0, 14.0);0.002501873
(7.1, 4.0, 14.2);0.002462443
(7.2, 4.0, 14.4);0.002424237
(7.3, 4.0, 14.6);0.002387199
(7.4, 4.0, 14.8);0.002351275
(7.5, 4.0, 15.0);0.002316417
(7.6, 3.9, 15.2);0.002282577
(7.7, 3.9, 15.4);0.002452634
(7.8, 3.9, 15.6);0.002414729
(7.9, 3.9, 15.8);0.002377979
(8.0, 3.9, 16.0);0.00234233
(8.1, 3.9, 16.2);0.002307734
(8.2, 3.9, 16.4);0.002274145
(8.3, 3.8, 16.6);0.002241521
(8.4, 3.8, 16.8);0.002209818
