Coord;Interestingness
(0.0, 9.6, 0.0);0.9541266
(0.0, 9.7, 1.0);0.1673958
(0.0, 9.7, 2.0);0.1272397
(0.0, 9.7, 3.0);0.09544872
(0.0, 9.7, 4.0);0.07640927
(0.0, 9.7, 5.0);0.05178988
(0.0, 9.7, 6.0);0.04563668
(0.0, 9.7, 7.0);0.05034757
(0.0, 9.7, 8.0);0.03601329
(0.0, 9.8, 9.0);0.03292805
(0.0, 9.8, 10.0);0.03755296
(0.0, 9.8, 11.0);0.02760739
(0.0, 9.8, 12.0);0.02575778
(0.0, 9.8, 13.0);0.02994613
(0.0, 9.8, 14.0);0.02778202
(0.0, 9.9, 15.0);0.02086553
(0.0, 9.9, 16.0);0.01979159
(0.0, 10.0, 17.0);0.0188228
(0.0, 10.1, 18.0);0.02230273
(0.0, 10.1, 19.0);0.02108004
(0.0, 10.2, 20.0);0.01606979
(0.0, 10.2, 21.0);0.01542521
(0.0, 10.3, 22.0);0.01845028
(0.0, 10.4, 23.0);0.01414834
(0.0, 10.4, 24.0);0.0136463
(0.0, 10.5, 25.0);0.01640397
(0.0, 10.6, 26.0);0.01263735
(0.0, 10.6, 27.0);0.0122353
(0.0, 10.7, 28.0);0.01185805
(0.0, 10.7, 29.0);0.01150336
(0.0, 10.8, 30.0);0.01116928
(0.0, 10.9, 31.0);0.01085405
(0.0, 10.9, 32.0);0.01055614
(0.0, 11.0, 33.0);0.01027413
(0.0, 11.0, 34.0);0.01000681
(0.0, 11.1, 35.0);0.009753045
(0.0, 11.2, 36.0);0.009511832
(0.0, 11.2, 37.0);0.009282263
(0.0, 11.3, 38.0);0.009063514
(0.0, 11.3, 39.0);0.00885484
(0.0, 11.4, 40.0);0.008655558
(0.0, 11.5, 41.0);0.008465049
(0.0, 11.5, 42.0);0.008282746
(0.0, 11.6, 43.0);0.009109734
(0.0, 11.6, 44.0);0.007920284
(0.0, 11.6, 45.0);0.007760469
(0.0, 11.6, 46.0);0.007606977
(0.0, 11.6, 47.0);0.008381777
(0.0, 11.7, 48.0);0.007300152
(0.0, 11.7, 49.0);0.00716417
(0.0, 11.7, 50.0);0.00703316
(0.0, 11.7, 51.0);0.007761558
(0.0, 11.7, 52.0);0.00677008
(0.0, 11.7, 53.0);0.00665297
(0.0, 11.7, 54.0);0.006539843
(0.0, 11.6, 55.0);0.006430499
(0.0, 11.6, 56.0);0.006324751
(0.0, 11.6, 57.0);0.006222425
(0.0, 11.5, 58.0);0.006123357
(0.0, 11.5, 59.0);0.006027395
(0.0, 11.5, 60.0);0.005934394
(0.0, 11.4, 61.0);0.005844219
(0.0, 11.4, 62.0);0.005756744
(0.0, 11.3, 63.0);0.005671849
(0.0, 11.3, 64.0);0.005589421
(0.0, 11.3, 65.0);0.006192509
(0.0, 11.2, 66.0);0.002720544
(0.0, 11.2, 67.0);0.002701435
(0.0, 11.2, 68.0);0.002682594
(0.0, 11.1, 69.0);0.002664013
