Coord;Interestingness
(0.0, -0.5, 0.0);0.2822038
(0.0, -0.3, 2.0);0.05960573
(0.0, 0.0, 4.0);0.02175941
(-4.8, -0.4, 3.7);0.01773277
(-7.2, 0.1, -1.6);0.01496619
(-3.6, -0.2, -6.2);0.01294747
(2.1, -0.4, -5.2);0.01140917
(3.8, 0.0, 0.4);0.01019789
(-0.7, -0.2, 4.4);0.009219291
(-6.2, -0.2, 1.9);0.008412172
(-5.5, -0.2, -3.6);0.007735067
(-0.7, -0.5, -5.7);0.007158889
(3.1, 0.2, -2.1);0.00666263
(1.3, 0.1, 2.9);0.006230735
(-3.9, -0.4, 3.2);0.005851441
(-6.1, -0.1, -2.3);0.005515688
(-1.4, -0.4, -5.9);0.005216383
(3.3, 0.2, -2.5);0.004947897
(1.4, 0.1, 3.1);0.0047057
(-4.4, -0.4, 2.8);0.004486111
(-6.1, -0.1, -2.3);0.004286107
(-2.0, -0.4, -5.8);0.004103177
(2.7, -0.2, -3.3);0.003935225
(2.2, 0.0, 2.0);0.003780483
(-2.9, -0.4, 3.6);0.003637452
(-6.3, -0.1, -0.5);0.00350485
(-3.7, -0.3, -5.2);0.003381577
(1.6, -0.4, -4.7);0.003266682
(3.1, -0.2, 0.4);0.003159338
(-1.1, -0.3, 3.8);0.003058825
(-5.8, -0.4, 1.2);0.002964512
(-5.1, -0.4, -4.1);0.00287584
(0.0, -0.5, -5.6);0.00279232
(3.3, 0.2, -1.3);0.002713513
(0.9, 0.1, 3.2);0.002639034
(-4.3, -0.4, 3.1);0.002568534
(-6.5, 0.0, -1.4);0.002501702
(-3.7, -0.3, -5.4);0.002438261
(1.3, -0.4, -4.9);0.002377958
(3.1, 0.2, -0.3);0.002320566
(0.0, -0.1, 3.6);0.002265878
(-4.9, -0.4, 2.6);0.00221371
(-6.4, 0.0, -2.3);0.00216389
(-2.6, -0.4, -5.8);0.002116262
(2.2, -0.4, -4.1);0.002070687
(2.8, 0.1, 1.0);0.002027033
(-1.3, -0.3, 3.9);0.001985181
(-5.9, -0.3, 1.6);0.001945023
(-5.8, -0.1, -3.4);0.001906458
(-1.4, -0.4, -5.7);0.001869392
(2.7, -0.1, -3.0);0.00183374
(2.1, 0.0, 1.9);0.001799422
(-2.5, -0.4, 3.7);0.001766365
(-6.2, -0.2, 0.5);0.001734501
(-5.1, -0.4, -4.3);0.001703767
(-0.3, -0.5, -5.6);0.001674102
(3.0, 0.2, -1.9);0.001645453
(1.3, 0.1, 2.7);0.001617768
(-3.6, -0.4, 3.4);0.001590999
(-6.4, -0.1, -0.7);0.001565102
(-4.2, -0.3, -5.0);0.001540034
(0.8, -0.5, -5.1);0.001515757
(3.1, 0.1, -0.8);0.001492233
(0.5, 0.0, 3.3);0.001469428
(-4.4, -0.4, 3.0);0.00144731
(-6.4, 0.0, -1.9);0.001425847
(-2.8, -0.4, -5.7);0.001405012
(2.2, -0.4, -4.1);0.001384778
(2.8, 0.1, 1.2);
