Coord;Interestingness
(0.0, 0.0, 0.0);0.01
(0.0, 1.6, 0.0);0.02
(0.0, 1.6, 10.0);0.02
(0.0, 1.6, 20.0);0.02
(0.0, 1.7, 30.0);0.02
(0.0, 2.2, 40.0);0.02
(0.0, 2.3, 50.0);0.02
(0.0, 2.5, 60.0);0.02
(0.0, 2.6, 70.0);0.02
(0.0, 2.6, 80.0);0.02
(0.0, 2.8, 90.0);0.02
(0.0, 3.2, 100.0);0.02
(0.0, 3.5, 110.0);0.02
(0.0, 4.1, 120.0);0.02
(0.0, 4.4, 130.0);0.02
(0.0, 4.3, 140.0);0.02
(0.0, 4.1, 150.0);0.02
(0.0, 3.5, 160.0);0.0225
(0.0, 2.4, 170.0);0.0125
(0.0, 0.9, 180.0);0.01
(0.0, 0.7, 180.5);0.01
(0.0, 0.7, 180.5);0.01
(0.0, 0.7, 180.5);0.01
(-0.3, 0.7, 180.5);0.01
(-1.3, 0.8, 180.4);0.01
(-2.5, 1.2, 180.3);0.01
(-3.9, 1.4, 180.2);0.02
(-4.2, 1.4, 180.2);0.02
(-4.2, 1.4, 180.2);0.02
(-4.2, 1.4, 180.2);0.0225
(-4.2, 1.4, 180.2);0.0225
(-4.2, 1.4, 180.1);0.0225
(-4.2, 1.4, 180.1);0.0225
(0.1, 1.9, 174.5);0.0225
(-4.6, 2.1, 172.7);0.02
(-1.8, 2.9, 167.2);0.0225
(-6.8, 1.7, 175.9);0.01
(-3.4, 1.4, 180.2);0.0225
(4.8, 1.4, 178.2);0.0225
(12.2, 2.1, 175.3);0.02
(9.6, 0.8, 178.0);0.01
(14.3, 1.1, 178.0);0.0225
(15.3, 2.7, 171.8);0.0225
(17.7, 2.2, 174.7);0.0225
(12.4, 2.7, 171.1);0.0225
(5.2, 1.4, 178.0);0.0225
(6.6, 1.4, 177.5);0.0225
(9.7, 2.6, 170.7);0.02
(2.3, 1.6, 177.4);0.0125
(4.0, 0.4, 180.2);0.02
(0.4, 1.3, 178.8);0.02
(-3.7, 1.4, 180.0);0.0225
(1.3, 0.5, 180.5);0.02
(8.8, 1.2, 177.2);0.02
(0.4, 1.5, 177.9);0.02
(1.7, 2.5, 169.5);0.02
(-7.2, 2.1, 174.0);0.0225
(-8.0, 2.7, 170.5);0.0225
(-17.0, 0.8, 175.0);0.025
(-14.3, 0.3, 176.4);0.025
(-6.6, 1.9, 175.3);0.0225
(-11.0, 0.9, 176.6);0.02
(-4.2, 1.4, 180.2);0.0225
(2.9, 1.8, 175.5);0.02
(0.0, 0.7, 180.5);0.01
(7.4, 1.3, 177.4);0.0225
(-2.1, 1.0, 180.3);0.01
(-6.8, 2.3, 172.4);0.0225
(-16.2, 0.4, 175.7);0.025
(-15.7, 0.1, 176.3);0.0225
(-13.8, 0.4, 176.4);0.0225
(-11.8, 0.7, 176.5);0.0225
(-3.1, 2.1, 173.4);0.02
(-12.7, 0.8, 176.2);0.0125
(-14.4, 0.3, 176.4);0.025
(-19.9, 0.7, 174.3);0.0225
(-26.7, 1.7, 171.1);0.02
(-23.5, 0.1, 174.3);0.0225
(-26.7, -0.5, 174.3);0.02
(-21.7, -0.4, 175.3);0.0225
(-28.8, -0.4, 174.1);0.02
(-35.2, 0.0, 173.4);0.02
(-31.1, 1.9, 169.9);0.02
(-31.9, 0.3, 173.1);0.02
(-29.9, 3.7, 163.6);0.02
(-37.7, 1.8, 169.8);0.0225
(-44.0, 0.8, 171.8);0.0225
(-38.2, 0.0, 173.5);0.0225
(-36.6, 0.7, 172.3);0.02
(-34.1, -0.2, 173.8);0.02
(-38.6, 0.0, 173.4);0.0225
(-30.8, -0.4, 174.0);0.02
(-32.6, -0.3, 173.9);0.02
(-38.2, 3.1, 165.7);0.0225
(-47.0, 1.7, 170.6);0.0125
(-42.3, 1.8, 169.5);0.0225
(-41.8, 2.5, 167.4);0.0225
(-50.6, 0.9, 172.2);0.01
(-44.9, 0.9, 171.9);0.02
(-44.9, 3.1, 165.9);0.025
(-53.8, 2.1, 170.6);0.0125
(-57.0, 1.8, 170.8);0.02
