X;Z;Interestingness;
0;0;0.1980198;
0;5;0.1485149;
0;10;0.1485149;
0;15;0.1485149;
0;20;0.1485149;
0;25;0.1485149;
0;30;0.1485149;
0;35;0.2227723;
0;175;0.1237624;
0;180;0.0990099;
0;190;0.1237624;
0;195;0.1237624;
5;0;0.1485149;
5;5;0.1485149;
5;10;0.1485149;
5;15;0.1237624;
5;20;0.1237624;
5;25;0.1485149;
5;30;0.2227723;
5;35;0.1980198;
5;40;0.1980198;
5;45;0.2227723;
5;50;0.1980198;
5;55;0.1980198;
5;60;0.2227723;
5;65;0.2227723;
5;70;0.2722772;
5;75;0.2722772;
5;175;0.0990099;
5;180;0.1485149;
5;195;0.1237624;
10;0;0.1485149;
10;5;0.1485149;
10;10;0.1485149;
10;15;0.1237624;
10;20;0.1237624;
10;25;0.1485149;
10;30;0.2227723;
10;35;0.1980198;
10;40;0.1980198;
10;45;0.2227723;
10;50;0.1980198;
10;55;0.1980198;
10;60;0.2227723;
10;65;0.2227723;
10;70;0.2970297;
10;75;0.2970297;
10;80;0.2722772;
10;85;0.2475247;
10;195;0.1237624;
15;0;0.1485149;
15;5;0.1485149;
15;10;0.1485149;
15;15;0.1237624;
15;20;0.1237624;
15;25;0.2227723;
15;30;0.2227723;
15;35;0.1980198;
15;40;0.07425743;
15;45;0.1237624;
15;50;0.0990099;
15;55;0.0990099;
15;60;0.1237624;
15;65;0.0990099;
15;70;0.2227723;
15;75;0.2970297;
15;80;0.2970297;
15;85;0.2722772;
15;195;0.1485149;
20;0;0.1485149;
20;5;0.1485149;
20;10;0.0990099;
20;15;0.07425743;
20;20;0.0990099;
20;25;0.1237624;
20;30;0.1237624;
20;35;0.0990099;
20;40;0.0990099;
20;45;0.1237624;
20;50;0.0990099;
20;55;0.0990099;
20;60;0.1237624;
20;65;0.1237624;
20;70;0.1237624;
20;75;0.2970297;
20;80;0.2970297;
20;85;0.2722772;
25;0;0.1237624;
25;5;0.0990099;
25;10;0.1237624;
25;15;0.0990099;
25;20;0.0990099;
25;25;0.1237624;
25;30;0.1237624;
25;35;0.1237624;
25;40;0.1237624;
25;45;0.0990099;
25;50;0.0990099;
25;55;0.0990099;
25;60;0.1237624;
25;65;0.1237624;
25;70;0.1237624;
25;75;0.2227723;
25;80;0.2227723;
25;85;0.2722772;
25;195;0.1485149;
30;0;0.1237624;
30;5;0.0990099;
30;10;0.1237624;
30;15;0.0990099;
30;20;0.1237624;
30;25;0.0990099;
30;30;0.0990099;
30;35;0.0990099;
30;40;0.0990099;
30;45;0.1237624;
30;50;0.0990099;
30;55;0.0990099;
30;60;0.1237624;
30;65;0.1237624;
30;70;0.1237624;
30;75;0.1237624;
30;80;0.2970297;
30;85;0.2722772;
30;90;0.2970297;
30;195;0.1485149;
35;0;0.0990099;
35;5;0.0990099;
35;10;0.0990099;
35;15;0.1237624;
35;20;0.0990099;
35;25;0.1237624;
35;30;0.1237624;
35;35;0.0990099;
35;40;0.0990099;
35;45;0.1237624;
35;50;0.0990099;
35;55;0.0990099;
35;60;0.1237624;
35;65;0.1237624;
35;70;0.0990099;
35;75;0.0990099;
35;80;0.2722772;
35;85;0.2722772;
35;90;0.2722772;
35;175;0.1237624;
35;195;0.1485149;
40;0;0.1237624;
40;5;0.0990099;
40;10;0.1237624;
40;15;0.0990099;
40;20;0.1237624;
40;25;0.0990099;
40;30;0.0990099;
40;35;0.0990099;
40;40;0.0990099;
40;45;0.1237624;
40;50;0.0990099;
40;55;0.0990099;
40;60;0.1237624;
40;65;0.1237624;
40;70;0.1237624;
40;75;0.3465346;
40;80;0.3465346;
40;85;0.2722772;
40;175;0.1237624;
40;195;0.1237624;
45;0;0.1237624;
45;5;0.0990099;
45;10;0.0990099;
45;15;0.1237624;
45;20;0.0990099;
45;25;0.1237624;
45;30;0.1237624;
45;35;0.1237624;
45;40;0.1485149;
45;45;0.0990099;
45;50;0.1237624;
45;55;0.1237624;
45;60;0.0990099;
45;65;0.0990099;
45;70;0.1237624;
45;75;0.2722772;
45;80;0.2722772;
45;85;0.2475247;
45;175;0.1237624;
45;195;0.1237624;
50;0;0.1237624;
50;5;0.0990099;
50;10;0.0990099;
50;15;0.0990099;
50;20;0.1237624;
50;25;0.1237624;
50;30;0.1237624;
50;35;0.1237624;
50;40;0.0990099;
50;45;0.1237624;
50;50;0.0990099;
50;55;0.0990099;
50;60;0.1237624;
50;65;0.1237624;
50;70;0.1237624;
50;75;0.2722772;
50;80;0.2722772;
50;85;0.1732673;
50;175;0.1237624;
50;195;0.1237624;
55;0;0.1237624;
55;5;0.0990099;
55;10;0.1237624;
55;15;0.1485149;
55;20;0.1237624;
55;35;0.1237624;
55;40;0.0990099;
55;45;0.1237624;
55;50;0.0990099;
55;55;0.0990099;
