Coord;Interestingness
(2.7, 1.5, 35.0);0.01492537
(2.7, 1.6, 36.0);0.01451078
(2.6, 1.6, 37.0);0.009121061
(2.6, 1.6, 38.0);0.006663113
(2.5, 1.6, 39.0);0.00525152
(2.5, 1.6, 40.0);0.004334388
(2.4, 1.7, 41.0);0.003690339
(2.4, 1.7, 42.0);0.003213101
(2.4, 1.7, 43.0);0.002845251
(2.3, 1.7, 44.0);0.002553024
(2.3, 1.7, 45.0);0.002315263
(2.2, 1.7, 46.0);0.002118033
(2.2, 1.8, 47.0);0.001951779
(2.1, 1.8, 48.0);0.001809734
(2.1, 1.8, 49.0);0.002489407
(2.0, 1.8, 50.0);0.002262806
(2.0, 1.8, 51.0);0.002074036
(1.9, 1.9, 52.0);0.001914349
(1.9, 1.9, 53.0);0.001777502
(1.8, 1.9, 54.0);0.001658921
(1.8, 1.9, 55.0);0.001555176
(1.8, 1.9, 56.0);0.001463647
(1.7, 2.0, 57.0);0.001382295
(1.7, 2.0, 58.0);0.001309512
(1.6, 2.0, 59.0);0.001244011
(1.6, 2.0, 60.0);0.001184752
(1.5, 2.0, 61.0);0.001130883
(1.5, 2.1, 62.0);0.0010817
(1.4, 2.1, 63.0);0.001036618
(1.4, 2.1, 64.0);0.0009951427
(1.3, 2.1, 65.0);0.0009568595
(1.3, 2.1, 66.0);0.0009214129
(1.3, 2.2, 67.0);0.000888499
(1.2, 2.2, 68.0);0.0008578556
(1.2, 2.2, 69.0);0.0008292557
(1.1, 2.2, 70.0);0.000537867
(1.1, 2.2, 71.0);0.0005264829
(1.0, 2.3, 72.0);0.0005155707
(1.0, 2.3, 73.0);0.0005051018
(0.9, 2.3, 74.0);0.0004950495
(0.9, 2.3, 74.9);0.0004853895
(0.8, 2.3, 75.9);0.0004760993
(0.8, 2.4, 76.9);0.0009257046
(0.8, 2.4, 77.9);0.0006723505
(0.7, 2.4, 78.9);0.0006546552
(0.7, 2.4, 79.9);0.0006378675
(0.6, 2.4, 80.9);0.0006219193
(0.6, 2.5, 81.9);0.0006067492
(0.5, 2.5, 82.9);0.0005923015
(0.5, 2.5, 83.9);0.000578526
(0.4, 2.5, 84.9);0.0005653767
(0.4, 2.5, 85.9);0.0005528118
(0.3, 2.5, 86.9);0.0005407933
(0.3, 2.6, 87.9);0.0005292863
(0.3, 2.6, 88.9);0.0005182588
(0.2, 2.6, 89.9);0.0005076814
(0.2, 2.6, 90.9);0.0004975272
(0.1, 2.6, 91.9);0.0004877712
(0.1, 2.7, 92.9);0.0004783904
(0.0, 2.7, 93.9);0.0004693637
(0.0, 2.7, 94.9);0.0004606713
(-0.1, 2.7, 95.9);0.0004522951
(-0.1, 2.7, 96.9);0.000444218
(-0.2, 2.8, 97.9);0.0005802141
(-0.2, 2.8, 98.9);0.0005669887
(-0.2, 2.8, 99.9);0.0005543529
(-0.3, 2.8, 100.9);0.000542268
(-0.3, 2.8, 101.9);0.0005306988
(-0.4, 2.9, 102.9);0.0005196129
(-0.4, 2.9, 103.9);0.0005089808
(-0.5, 2.9, 104.9);0.000498775
(-0.5, 2.9, 105.9);0.0004889705
(-0.6, 2.9, 106.9);0.000479544
(-0.6, 3.0, 107.9);0.0004704741
(-0.7, 3.0, 108.9);0.0003471067
(-0.7, 3.0, 109.9);0.0003423298
(-0.7, 3.0, 110.9);0.0003376827
(-0.8, 3.0, 111.9);0.0003331601
(-0.8, 3.1, 112.9);0.000328757
(-0.9, 3.1, 113.9);0.0003244687
(-0.9, 3.1, 114.9);0.0003202909
(-1.0, 3.1, 115.9);0.0003162193
(-1.0, 3.1, 116.9);0.0003122499
(-1.1, 3.2, 117.9);0.000308379
(-1.1, 3.2, 118.9);0.0003046028
(-1.2, 3.2, 119.9);0.000300918
(-1.2, 3.2, 120.9);0.0002973213
(-1.2, 3.2, 121.9);0.0002938096
(-1.3, 3.3, 122.9);0.0002903798
(-1.3, 3.3, 123.9);0.0002870292
(-1.4, 3.3, 124.9);0.0002837551
(-1.4, 3.3, 125.9);0.0002805548
(-1.5, 3.3, 126.9);0.0002774259
(-1.5, 3.4, 127.9);0.0002743659
(-1.6, 3.4, 128.9);0.0002713728
(-1.6, 3.4, 129.9);0.0003572858
(-1.7, 3.4, 130.9);0.0003522267
(-1.7, 3.4, 131.9);0.0003473089
(-1.7, 3.4, 132.9);0.0003425266
(-1.8, 3.5, 133.9);0.0004216304
(-1.8, 3.5, 134.9);0.0003322333
(-1.9, 3.5, 135.9);0.0003278545
(-1.9, 3.5, 136.9);0.0004038335
(-2.0, 3.5, 137.9);0.0003973822
(-2.0, 3.6, 138.9);0.0003911338
(-2.1, 3.6, 139.9);0.0003850789
(-2.1, 3.6, 140.9);0.0003792086
(-2.2, 3.6, 141.9);0.0003735146
(-2.2, 3.6, 142.9);0.000367989
(-2.2, 3.7, 143.9);0.0002905213
(-2.3, 3.7, 144.9);0.0002871674
(-2.3, 3.7, 145.9);0.0002838901
(-2.4, 3.7, 146.9);0.0003503664
(-2.4, 3.7, 147.9);0.0003455001
(-2.5, 3.8, 148.9);0.0002050199
(-2.5, 3.8, 149.9);0.0002707576
(-2.7, 3.8, 150.8);0.0002678422
(-3.0, 3.6, 151.8);0.000264989
(-3.2, 3.3, 152.7);0.0003273153
(-3.4, 3.1, 153.6);0.0001943417
(-3.7, 2.9, 154.6);0.0001928351
(-3.9, 2.7, 155.5);0.0001913518
(-4.1, 2.4, 156.5);0.0001898911
(-4.3, 2.2, 157.4);0.0001884525
(-4.6, 2.0, 158.4);0.0001870355
(-4.8, 1.7, 159.3);0.0001856397
(-5.0, 1.5, 160.3);0.0001229946
(-5.3, 1.3, 161.2);0.0001223895
(-5.5, 1.1, 162.2);0.0001217903
(-5.7, 0.8, 163.1);0.0001211969
(-5.9, 0.6, 164.1);0.0001206092
(-6.2, 0.4, 165.0);0.0001200273
(-6.4, 0.2, 166.0);0.0001194509
(-6.6, -0.1, 166.9);0.0001188801
(-6.8, -0.3, 167.8);0.0001183147
